,place_cd,race_no,odds1,odds2,odds3,odds4,odds5,odds6,hunaken,before_odds,is_buy
0,18,1,1.0,12.2,13.3,12.2,43.8,61.3,3,13.3,0
1,21,1,1.0,10.8,18.8,22.8,14.0,18.8,1,1.0,0
2,18,2,1.1,18.5,12.6,4.6,21.8,18.5,1,1.1,0
3,21,2,1.0,22.4,67.2,3.6,36.6,44.8,3,67.2,0
4,18,3,1.0,12.8,8.3,10.7,24.0,21.4,4,10.7,0
5,21,3,1.5,7.7,3.3,10.4,7.8,24.8,2,7.7,0
6,18,4,1.2,4.5,23.9,26.9,5.9,16.5,3,23.9,0
7,21,4,1.2,6.4,5.7,18.6,11.9,25.9,1,1.2,0
8,11,1,1.2,3.5,8.0,19.2,16.0,48.0,4,19.2,0
9,18,5,2.1,7.0,3.0,3.1,24.6,29.5,1,2.1,0
10,17,1,1.8,5.2,5.4,4.2,27.1,7.0,2,5.2,0
11,16,1,1.0,16.3,32.6,8.1,32.6,16.3,3,32.6,0
12,21,5,1.8,4.1,9.1,2.9,30.3,12.1,4,2.9,0
13,11,2,1.2,2.6,15.7,15.7,0.0,0.0,3,15.7,0
14,4,1,3.5,2.0,9.1,3.5,9.1,15.2,3,9.1,0
15,18,6,2.4,1.2,21.4,26.8,21.4,53.6,4,26.8,0
16,17,2,1.3,9.0,6.4,3.3,0.0,22.5,3,6.4,0
17,16,2,2.5,3.4,12.7,2.0,12.7,0.0,1,2.5,0
18,5,1,1.9,5.9,11.8,1.9,27.7,41.6,6,41.6,0
19,21,6,1.7,2.0,23.0,30.7,11.5,7.6,6,7.6,0
20,4,2,1.0,10.2,0.0,10.2,0.0,0.0,2,10.2,0
21,11,3,1.1,14.4,3.6,19.2,0.0,11.5,4,19.2,0
22,6,1,1.3,10.9,4.5,10.9,13.6,10.9,3,4.5,0
23,18,7,2.9,3.9,2.7,2.7,47.2,0.0,5,47.2,0
24,17,3,1.2,9.4,16.5,4.4,13.2,22.0,2,9.4,0
25,5,2,4.6,9.2,1.0,30.1,60.3,0.0,4,30.1,0
26,16,3,1.1,19.5,13.0,39.0,3.9,13.0,4,39.0,0
27,21,7,1.0,12.0,7.1,15.6,15.6,70.5,2,12.0,0
28,4,3,3.2,12.0,1.7,36.0,6.0,6.0,2,12.0,0
29,6,2,1.0,16.6,12.0,8.0,24.0,54.1,2,16.6,0
30,11,4,1.2,33.7,33.7,3.0,16.8,16.8,2,33.7,0
31,18,8,2.0,2.0,33.0,3.6,66.0,33.0,5,66.0,0
32,5,3,5.5,2.8,44.6,1.3,44.6,44.6,3,44.6,0
33,21,8,1.1,6.3,16.8,7.9,15.1,15.1,3,16.8,0
34,4,4,2.8,6.3,3.6,2.5,12.7,12.7,1,2.8,0
35,6,3,3.7,1.5,7.5,12.5,18.7,6.2,1,3.7,0
36,11,5,1.0,11.6,13.9,23.2,11.6,34.8,3,13.9,0
37,17,5,1.2,12.5,11.9,8.4,5.2,23.2,2,12.5,0
38,5,4,1.5,3.9,4.8,18.5,7.9,37.0,5,7.9,0
39,4,5,1.1,11.7,11.7,9.9,8.6,11.7,1,1.1,0
40,21,9,3.8,1.2,7.7,33.3,25.0,18.2,4,33.3,0
41,6,4,1.1,0.0,3.4,41.2,10.3,41.2,4,41.2,0
42,11,6,1.4,5.1,6.1,9.9,8.6,18.5,1,1.4,0
43,17,6,1.1,11.1,9.7,10.5,7.7,13.3,5,7.7,0
44,4,6,2.2,2.9,3.3,76.1,4.6,38.0,4,76.1,0
45,18,10,1.3,2.6,28.0,16.8,42.0,14.0,3,28.0,0
46,6,5,1.7,7.8,3.1,6.5,13.1,11.2,2,7.8,0
47,21,10,2.0,6.5,1.9,17.1,15.5,13.1,1,2.0,0
48,11,7,1.4,1.9,14.7,25.2,44.2,177.0,5,44.2,0
49,16,6,1.1,7.3,5.7,11.4,17.1,25.6,1,1.1,0
50,5,6,5.5,5.2,1.6,5.8,6.0,52.2,2,5.2,0
51,24,11,1.0,12.9,11.1,5.7,17.6,47.7,4,5.7,0
52,20,11,1.3,2.8,17.1,18.0,15.1,13.5,1,1.3,0
53,24,12,1.0,7.9,12.4,16.1,22.1,18.6,1,1.0,0
54,20,12,1.4,7.6,9.7,4.6,10.3,8.8,2,7.6,0
